frame,error_m,n_matches,mean_confidence,mean_pixel_uncertainty_px,mean_ratio_test,mean_n_candidates,rotation_std_x_rad,rotation_std_y_rad,rotation_std_z_rad,translation_std_x_m,translation_std_y_m,translation_std_z_m,rotation_std_total_rad,translation_std_total_m
1305031526.671473.png,0.13967129087403268,46,0.939693327955381,0.8928036655201655,0.5623342905044957,19.73913043478261,0.0012865242054407263,0.0013389181984058017,0.0007956645198682038,0.003956853384998374,0.003549659197925248,0.0020667899078692493,0.0020201308129386645,0.005703366519439075
1305031526.707547.png,0.13771697243767847,46,0.9509419440679998,0.8480102883064988,0.4651763311772292,21.47826086956522,0.001138002437644213,0.0012639462716217147,0.0008264316582456197,0.0038268703393967343,0.0032241554356044737,0.0021456341442811955,0.0018909254378164171,0.005444617594340088
1305031526.739478.png,0.13856638566036864,39,0.9404081750279106,0.8671833152653651,0.5380503765077512,20.871794871794872,0.0012157334067644397,0.0014789553982391783,0.0009566805331972558,0.004614485366464833,0.0035167235760383544,0.0023701871959907112,0.002140222985789673,0.006267264734445194
1305031526.771481.png,0.1203805803879122,29,0.9091734701363865,0.9716026238987315,0.6228957483227414,18.06896551724138,0.0015693280205457249,0.0015910683767807454,0.0012202277132631477,0.004964532294694139,0.004679039219463958,0.003327686908841989,0.0025462216494007528,0.007590355003925791
1305031526.807455.png,0.13577256193965345,33,0.9257276834838893,0.9402006635649662,0.6444608897419254,19.696969696969695,0.001807972614808828,0.0016696581472087542,0.0011431225921031411,0.005135661576472542,0.00487001692785036,0.0023228073252964444,0.002713531382721756,0.007448994467447021
1305031526.839480.png,0.1230881526146814,52,0.9203520685934201,0.8959964176982081,0.603721057588936,21.903846153846153,0.00105461605963177,0.001026973880890209,0.0008171752045116704,0.0034080779686509128,0.0033317929778594706,0.0022316850553919677,0.0016836465484574333,0.005262723446484459
1305031526.871446.png,0.12053580827330741,34,0.9379875412093296,0.8579062920474132,0.6183316443811441,20.323529411764707,0.0013792860727990875,0.001239264026993508,0.001000918620963002,0.004233060026205172,0.004397747974864107,0.0029712481554990747,0.002107141069081084,0.006788762776635676
1305031526.907484.png,0.11717419569100516,39,0.9389041964070466,0.8931939488510917,0.5312188862943271,17.82051282051282,0.0010524336853247438,0.0008802820773852168,0.000887789209902185,0.003329053077788087,0.003660385939578544,0.0028663513582418703,0.0016342224080554643,0.005718128166654683
1305031526.939618.png,0.12676529914627974,47,0.9425843417279345,0.8827647790790276,0.5692635054873132,20.170212765957448,0.0011350243796502764,0.0008268481941080166,0.0007562668486654566,0.003011839410851254,0.0038026033349873346,0.002409825615291514,0.001594960132696289,0.005416477476748957
1305031526.971510.png,0.12310216506452089,41,0.9476005328841054,0.8575663495940499,0.5211081073255518,18.146341463414632,0.0010734968496605825,0.0008874351362537348,0.000871936116207359,0.0033882599449045173,0.003671479508226705,0.002488321812455389,0.001643231328217562,0.005581380893283869
