name,x,y,z
ManualPoint_0,-1.3279154300689697,-1.7749865055084229,1.0943268537521362
ManualPoint_1,-1.3307851552963257,-1.7749994993209839,0.7006567716598511
ManualPoint_2,-1.6750009059906006,-1.7766525745391846,1.097747564315796
ManualPoint_3,-1.2999955415725708,-1.6976159811019897,0.5228559970855713
ManualPoint_4,-1.7000008821487427,-1.3020883798599243,0.5239657759666443
ManualPoint_5,-3.2999939918518066,-2.807863712310791,0.5177652835845947
ManualPoint_6,-3.3121912479400635,-2.7808918952941895,0.27499961853027344
ManualPoint_7,-1.3016351461410522,-1.3000000715255737,0.5216946601867676
ManualPoint_8,-4.9108967781066895,-2.0102429389953613,2.200432300567627
ManualPoint_9,-0.9997695088386536,-1.497568130493164,-1.9073486328125e-06
ManualPoint_10,-1.0011935234069824,-0.9972096681594849,8.940696716308594e-07
ManualPoint_11,-1.4900821447372437,-0.9995403289794922,-6.139278411865234e-06
ManualPoint_12,-1.489675760269165,-1.4899213314056396,-1.7881393432617188e-07
ManualPoint_13,-2.2592382431030273,-2.8094828128814697,0.7749994993209839
ManualPoint_14,-1.9821605682373047,-1.987652063369751,6.794929504394531e-06
ManualPoint_15,-3.25052547454834,-1.5000004768371582,0.7731471657752991
ManualPoint_16,-3.6599979400634766,-3.206366539001465,1.1017307043075562
ManualPoint_17,-1.700000524520874,-1.6995875835418701,0.5240681767463684
ManualPoint_18,-1.4299994707107544,-2.5504634380340576,0.7893086075782776
ManualPoint_19,-0.9912565350532532,-2.000810146331787,3.0994415283203125e-06
ManualPoint_20,-0.4984029531478882,-1.995784044265747,4.351139068603516e-06
ManualPoint_21,-0.49892568588256836,-1.503063440322876,4.291534423828125e-06
ManualPoint_22,-0.5021415948867798,-0.99889075756073,5.662441253662109e-06
ManualPoint_23,-0.17736685276031494,-0.17745272815227509,0.04999810457229614
ManualPoint_24,-0.286670446395874,0.2252330183982849,5.185604095458984e-06
ManualPoint_25,0.1633504033088684,-0.17034567892551422,0.05000501871109009
ManualPoint_26,0.16878920793533325,0.17863038182258606,0.05000036954879761
ManualPoint_27,-1.9892520904541016,-1.4956142902374268,8.58306884765625e-06
